No,X,Y
0,1386,89
1,1369,88
2,1375,116
3,1371,137
4,1366,160
5,1360,182
6,1355,205
7,1347,227
8,1340,249
9,1335,270
10,1329,293
11,1330,331
12,1325,355
13,1319,380
14,1313,398
15,1338,127
16,1318,117
17,1322,140
18,1309,160
19,1306,185
20,1302,207
21,1285,247
22,1283,274
23,1275,294
24,1277,316
25,1307,324
26,1279,342
27,1272,361
28,1297,368
29,1260,383
30,1260,105
31,1230,110
32,1194,111
33,1159,117
34,1119,124
35,1076,131
36,1032,137
37,969,148
38,927,152
39,926,214
40,966,206
41,1011,201
42,1044,198
43,1101,185
44,1141,181
45,1183,173
46,1229,166
47,1249,145
48,1240,222
49,1186,222
50,1145,229
51,1104,244
52,1066,250
53,1016,248
54,974,255
55,936,262
56,944,316
57,1010,307
58,1038,296
59,1059,308
60,1079,307
61,1122,298
62,1144,286
63,1160,291
64,1186,288
65,1204,284
66,1235,252
67,1339,469
68,1316,456
69,1285,447
70,1225,426
71,1180,414
72,1126,392
73,1078,394
74,1045,381
75,991,381
76,961,387
77,832,197
78,694,225
79,790,349
80,736,358
81,653,370
82,895,445
83,783,488
84,671,495
85,844,554
86,719,546
87,848,660
88,852,687
89,852,703
90,852,727
91,812,691
92,731,706
93,833,754
94,772,751
95,736,763
96,686,762
97,665,647
98,624,657
99,557,595
100,518,601
101,468,601
102,478,659
103,528,643
104,581,630
105,581,645
106,586,669
107,526,697
108,510,701
109,519,723
110,533,739
111,491,769
112,535,765
113,539,781
114,544,803
115,580,734
116,593,714
117,614,722
118,641,711
119,646,821
120,607,850
121,526,850
122,615,874
123,649,864
124,704,817
125,757,814
126,840,792
127,814,812
128,824,837
129,758,837
130,713,836
131,716,867
132,748,855
133,814,875
134,760,873
135,711,904
136,807,892
137,804,913
138,793,952
139,725,940
140,736,958
141,780,983
